Year,Month,Model,Type,Power,Region,Country,Units_Sold,Avg_Price_USD,Revenue_USD,Cost_USD,Profit_USD,Profit_Margin,Gross_Margin,Operating_Expenses_USD,Net_Profit_USD,ROI,EBITDA_Margin
2020,Jan,3 Series,Sedan,Diesel,Europe,Italy,1111,35690,39651590,26202218.22,13449371.78,33.92,40.52,5026967.3,8422404.48,32.14,50.59
2020,Jan,3 Series,Sedan,Petrol,USA,USA,1066,75004,79954264,,18198744.42,22.76,38.01,10136478.02,8062266.4,,48.08
2020,Jan,3 Series,Sedan,Hybrid,China,China,1429,106934,152808686,101860009.5,50948676.53,33.34,35.38,19372849.05,31575827.48,31,45.45
2020,Jan,3 Series,Sedan,Hybrid,Rest_of_World,Japan,241,78914,19018274,15978886.07,3039387.93,15.98,38.31,2411107.38,628280.55,3.93,48.38
2020,Jan,5 Series,Sedan,Petrol,Europe,France,1141,45835,52297735,40075581.3,12222153.7,23.37,45.18,6630226.02,5591927.68,13.95,55.25
2020,Jan,5 Series,Sedan,Electric,USA,USA,1595,110160,175705200,129107255.5,46597944.5,26.52,29.84,22275633.7,24322310.8,18.84,39.91
2020,Jan,5 Series,Sedan,Diesel,China,China,1710,51357,87820470,73706275.51,14114194.49,16.07,23.44,11133743.46,2980451.03,4.04,33.51
2020,Jan,5 Series,Sedan,Diesel,Rest_of_World,Brazil,1972,106278,209580216,161085436.1,48494779.94,23.14,44.52,26570255.88,21924524.06,13.61,54.59
2020,Jan,7 Series,Sedan,Petrol,Europe,Spain,1812,47934,86856408,63902641.36,22953766.64,26.43,45.39,11011521.17,11942245.47,18.69,55.46
2020,Jan,7 Series,Sedan,Electric,USA,USA,365,65211,23802015,16575823.23,7226191.77,30.36,20.3,3017582.68,4208609.09,25.39,30.37
2020,Jan,7 Series,Sedan,Diesel,China,China,523,45115,23595145,19120235.4,4474909.6,18.97,36.1,2991356.02,1483553.58,7.76,46.17
2020,Jan,7 Series,Sedan,Diesel,Rest_of_World,Brazil,567,113834,64543878,46063992.46,18479885.54,28.63,32.97,8182773.1,10297112.44,22.35,43.04
2020,Jan,X1,SUV,Diesel,Europe,Spain,1975,37063,73199425,,12103304.57,16.53,40.2,9280109.97,2823194.6,,50.27
2020,Jan,X1,SUV,Petrol,USA,USA,820,50246,41201720,,8691931.42,21.1,35.47,5223490.38,3468441.04,,45.54
2020,Jan,X1,SUV,Hybrid,China,China,511,67728,34609008,24003806.5,10605201.5,30.64,30.83,4387676.55,6217524.95,25.9,40.9
2020,Jan,X1,SUV,Hybrid,Rest_of_World,Brazil,1282,36435,46709670,38177848.55,8531821.45,18.27,43.32,5921779.77,2610041.68,6.84,53.39
2020,Jan,X3,SUV,Diesel,Europe,UK,1667,60412,100706804,80150449.94,20556354.06,20.41,45.79,12767452.97,7788901.09,9.72,55.86
2020,Jan,X3,SUV,Electric,USA,USA,1441,109020,157097820,114875082.1,42222737.86,26.88,35.74,19916618.82,22306119.04,19.42,45.81
2020,Jan,X3,SUV,Petrol,China,China,1899,43477,,69431358.43,13131464.57,15.9,40.09,,,,50.16
2020,Jan,X3,SUV,Hybrid,Rest_of_World,India,1471,118280,173989880,143415944.8,30573935.24,17.57,34.42,22058168.08,8515767.16,5.94,44.49
2020,Jan,X5,SUV,Petrol,Europe,France,281,76049,21369769,16279230.57,5090538.43,23.82,38.23,2709226.29,2381312.14,14.63,48.3
2020,Jan,X5,SUV,Diesel,USA,USA,1199,113666,136285534,91452526.3,44833007.7,32.9,28.98,17278069.37,27554938.33,30.13,39.05
2020,Jan,X5,SUV,Petrol,China,China,1123,95494,107239762,79958325.91,27281436.09,25.44,49.18,13595691.29,13685744.8,17.12,59.25
2020,Jan,X5,SUV,Diesel,Rest_of_World,India,619,76479,47340501,39354367.25,7986133.75,16.87,31.55,6001755.55,1984378.2,5.04,41.62
2020,Jan,X7,SUV,Electric,Europe,France,716,36505,26137580,17177495.09,8960084.91,34.28,39.07,3313682,5646402.91,32.87,49.14
2020,Jan,X7,SUV,Hybrid,USA,USA,595,81150,48284250,31633148.18,16651101.82,34.49,34.76,6121402.59,10529699.23,33.29,44.83
2020,Jan,X7,SUV,Diesel,China,China,580,91939,53324620,,18131415.6,34,33.61,6760412.91,11371002.69,,43.68
2020,Jan,X7,SUV,Electric,Rest_of_World,South Africa,1827,53242,97273134,69837657.93,27435476.07,28.2,29.95,12332137.59,15103338.48,21.63,40.02
2020,Jan,Z4,Convertible,Petrol,Europe,Spain,296,38849,11499304,9733731.64,1765572.36,15.35,22.74,1457863.99,307708.37,3.16,32.81
2020,Jan,Z4,Convertible,Electric,USA,USA,1076,35725,38440100,26297129.84,12142970.16,31.59,38.35,4873376.47,7269593.69,27.64,48.42
2020,Jan,Z4,Convertible,Hybrid,China,China,1858,80284,149167672,111094961,38072710.97,25.52,36.38,18911246.92,19161464.05,17.25,46.45
2020,Jan,Z4,Convertible,Hybrid,Rest_of_World,South Africa,1067,113844,121471548,80776979.57,40694568.43,33.5,26.86,15399975.12,25294593.31,31.31,36.93
2020,Jan,i4,Coupe,Electric,Europe,Germany,1472,81340,119732480,99514378.6,20218101.4,16.89,43.71,15179498.77,5038602.63,5.06,53.78
2020,Jan,i4,Coupe,Electric,USA,USA,609,116138,70728042,56988501.49,13739540.51,19.43,21.05,8966791.85,4772748.66,8.37,31.12
2020,Jan,i4,Coupe,Electric,China,China,589,47826,28169514,20034758.59,,28.88,28.98,3571287.45,,,39.05
2020,Jan,i4,Coupe,Electric,Rest_of_World,Australia,1730,86913,150359490,108389761.5,41969728.55,27.91,33.82,19062343.76,22907384.79,21.13,43.89
2020,Jan,iX,SUV,Electric,Europe,UK,971,38050,36946550,30716533.55,6230016.45,16.86,36.27,4684026.51,1545989.94,5.03,46.34
2020,Jan,iX,SUV,Electric,USA,USA,1744,57862,100911328,,33222626.67,32.92,21.8,12793382.21,20429244.46,,31.87
2020,Jan,iX,SUV,Electric,China,China,513,53163,27272619,18222801.85,9049817.15,33.18,25.51,3457580.49,5592236.66,30.69,35.58
2020,Jan,iX,SUV,Electric,Rest_of_World,Brazil,1943,50233,97602719,81340296,16262423,16.66,32.25,12373921.87,3888501.13,4.78,42.32
2020,Jan,i7,Sedan,Electric,Europe,Italy,1336,51661,69019096,58460302.47,10558793.53,15.3,42.94,8750134.32,1808659.21,3.09,53.01
