Order_ID,Date,Product_ID,Product_Name,Category,Region,City,Customer_ID,Gender,Age,Units_Sold,Unit_Price,Discount,Revenue,Cost,Profit
ORD00000,2023-04-13,CLO_535,Shirt,Clothing,South,Chennai,CUST1860,Female,32,8,3872,20,24780.8,19305.61,5475.19
ORD00001,2023-05-02,FUR_566,Chair,Furniture,East,Bhubaneswar,CUST5426,Female,28,8,3544,15,24099.2,18805.44,5293.76
ORD00002,2023-06-01,CLO_230,Jeans,Clothing,East,Patna,CUST2685,Female,19,8,2533,5,19250.8,12600.56,6650.24
ORD00003,2023-10-04,FUR_260,Table,Furniture,South,Chennai,CUST5555,Male,39,9,574,0,5166,4047.85,1118.15
ORD00004,2023-06-19,FUR_575,Sofa,Furniture,North,Delhi,CUST3747,Female,33,3,1999,15,5097.45,3844.86,1252.59
ORD00005,2023-11-16,GRO_604,Milk,Groceries,East,Bhubaneswar,CUST4556,Female,24,5,2988,0,14940,9255.56,5684.44
ORD00006,2023-03-30,CLO_415,Shoes,Clothing,North,Lucknow,CUST9433,Male,26,5,1463,20,5852,3934.34,1917.66
ORD00007,2023-09-21,FUR_134,Table,Furniture,North,Chandigarh,CUST4152,Female,53,2,4043,0,8086,6683.96,1402.04
ORD00008,2023-02-23,ELE_205,Headphones,Electronics,East,Bhubaneswar,CUST4843,Female,46,2,261,10,469.8,337.57,132.23
ORD00009,2023-09-27,ELE_962,Tablet,Electronics,West,Ahmedabad,CUST8629,Female,40,9,437,0,3933,2996.58,936.42
ORD00010,2023-10-07,CLO_316,Shoes,Clothing,North,Chandigarh,CUST5859,Female,62,9,2162,20,15566.4,10111.62,5454.78
ORD00011,2023-12-11,CLO_938,Jeans,Clothing,East,Bhubaneswar,CUST3568,Female,41,1,2127,15,1807.95,1243.95,564
ORD00012,2023-03-04,GRO_238,Eggs,Groceries,South,Chennai,CUST6618,Male,34,8,4614,20,29529.6,24550.35,4979.25
ORD00013,2023-09-18,GRO_589,Fruits,Groceries,East,Bhubaneswar,CUST7184,Female,45,7,300,10,1890,1487.41,402.59
ORD00014,2023-02-02,FUR_147,Table,Furniture,East,Kolkata,CUST3454,Female,41,5,2831,0,14155,11200.39,2954.61
ORD00015,2023-02-04,GRO_838,Eggs,Groceries,West,Pune,CUST9110,Male,31,3,3940,15,10047,8203.56,1843.44
ORD00016,2023-09-12,ELE_497,Headphones,Electronics,East,Bhubaneswar,CUST7938,Male,26,3,963,20,2311.2,1827.98,483.22
ORD00017,2023-02-21,GRO_195,Milk,Groceries,North,Lucknow,CUST7019,Female,47,5,1778,15,7556.5,6246.7,1309.8
ORD00018,2023-02-05,FUR_624,Chair,Furniture,West,Ahmedabad,CUST4157,Female,45,2,2829,10,5092.2,4289.85,802.35
ORD00019,2023-05-14,ELE_895,Laptop,Electronics,East,Patna,CUST4627,Male,37,7,3402,15,20241.9,17651.92,2589.98
ORD00020,2023-10-10,ELE_732,Tablet,Electronics,South,Hyderabad,CUST6864,Female,20,7,809,0,5663,4265.51,1397.49
ORD00021,2023-05-17,GRO_417,Eggs,Groceries,North,Chandigarh,CUST4748,Male,50,3,4879,0,14637,9854.18,4782.82
ORD00022,2023-11-11,CLO_473,Jacket,Clothing,East,Patna,CUST2495,Female,58,4,1953,10,7030.8,6268.2,762.6
ORD00023,2023-02-21,CLO_367,Jacket,Clothing,East,Kolkata,CUST4581,Female,56,2,1736,5,3298.4,2260.9,1037.5
ORD00024,2023-03-22,FUR_798,Bed,Furniture,West,Ahmedabad,CUST5737,Female,45,6,954,10,5151.6,3521.6,1630
ORD00025,2023-08-13,CLO_484,Shoes,Clothing,East,Patna,CUST6249,Male,61,6,3610,0,21660,17945,3715
ORD00026,2023-05-03,GRO_500,Fruits,Groceries,North,Chandigarh,CUST9958,Male,55,8,3031,15,20610.8,18447.22,2163.58
ORD00027,2023-08-28,ELE_243,Headphones,Electronics,West,Mumbai,CUST9800,Male,26,6,2611,15,13316.1,8152.55,5163.55
ORD00028,2023-05-28,ELE_863,Headphones,Electronics,North,Lucknow,CUST8098,Female,53,3,1469,5,4186.65,3155.18,1031.47
ORD00029,2023-05-27,GRO_247,Eggs,Groceries,South,Chennai,CUST3911,Male,24,4,588,0,2352,1898.73,453.27
ORD00030,2023-05-08,ELE_650,Tablet,Electronics,North,Delhi,CUST3385,Male,57,1,1902,20,1521.6,1068.65,452.95
ORD00031,2023-05-31,ELE_514,Laptop,Electronics,East,Patna,CUST5061,Female,59,3,362,5,1031.7,823.29,208.41
ORD00032,2023-12-12,FUR_723,Chair,Furniture,West,Pune,CUST3049,Male,18,5,3208,5,15238,13177.68,2060.32
ORD00033,2023-01-09,CLO_332,Jacket,Clothing,North,Lucknow,CUST4170,Male,36,3,4599,20,11037.6,9559.95,1477.65
ORD00034,2023-04-30,GRO_772,Rice,Groceries,North,Lucknow,CUST2648,Female,25,4,1545,10,5562,4453.47,1108.53
ORD00035,2023-09-11,GRO_326,Eggs,Groceries,East,Patna,CUST3557,Male,42,3,2300,20,5520,3320.38,2199.62
ORD00036,2023-12-04,FUR_805,Chair,Furniture,North,Chandigarh,CUST3869,Male,52,9,4167,15,31877.55,25937.29,5940.26
ORD00037,2023-10-16,CLO_497,Shirt,Clothing,North,Lucknow,CUST5911,Female,37,8,1318,15,8962.4,7145.58,1816.82
ORD00038,2023-02-02,GRO_787,Rice,Groceries,East,Kolkata,CUST5555,Female,39,7,1145,20,6412,4316.54,2095.46
ORD00039,2023-02-07,CLO_329,Shirt,Clothing,East,Patna,CUST4436,Female,25,2,4993,10,8987.4,7131.78,1855.62
ORD00040,2023-11-13,CLO_915,Shirt,Clothing,North,Delhi,CUST8683,Female,52,1,116,5,110.2,99,11.2
ORD00041,2023-06-07,FUR_576,Bed,Furniture,North,Chandigarh,CUST2069,Female,23,3,1160,5,3306,2904.31,401.69
ORD00042,2023-10-29,ELE_280,Headphones,Electronics,North,Delhi,CUST1606,Male,52,1,1239,0,1239,852.85,386.15
ORD00043,2023-06-10,CLO_355,Jeans,Clothing,South,Chennai,CUST4394,Male,35,9,669,0,6021,5292.49,728.51
ORD00044,2023-06-23,FUR_891,Sofa,Furniture,East,Bhubaneswar,CUST8455,Female,64,6,1786,20,8572.8,5503.95,3068.85
ORD00045,2023-06-04,CLO_589,Shoes,Clothing,South,Bangalore,CUST2409,Female,43,1,3275,20,2620,2119.85,500.15
ORD00046,2023-10-26,ELE_345,Tablet,Electronics,North,Chandigarh,CUST8343,Female,56,7,637,15,3790.15,3195.23,594.92
ORD00047,2023-01-13,GRO_927,Fruits,Groceries,North,Chandigarh,CUST6625,Male,24,9,4231,20,30463.2,25573.51,4889.69
ORD00048,2023-11-17,CLO_875,Shoes,Clothing,South,Chennai,CUST7655,Female,63,3,1266,10,3418.2,2436.07,982.13
ORD00049,2023-11-18,ELE_899,Smartphone,Electronics,South,Hyderabad,CUST1853,Female,42,6,1815,10,9801,5994.79,3806.21
ORD00050,2023-09-28,GRO_153,Fruits,Groceries,South,Bangalore,CUST3491,Female,54,1,3224,0,3224,2197.04,1026.96
ORD00051,2023-04-18,CLO_104,Shoes,Clothing,North,Chandigarh,CUST6222,Male,21,6,976,10,5270.4,3469.58,1800.82
ORD00052,2023-12-16,ELE_146,Laptop,Electronics,North,Chandigarh,CUST7966,Female,57,4,4464,5,16963.2,15111.85,1851.35
ORD00053,2023-04-16,FUR_769,Table,Furniture,West,Ahmedabad,CUST5752,Male,36,7,1469,10,9254.7,5623.2,3631.5
ORD00054,2023-04-27,CLO_929,Shirt,Clothing,South,Chennai,CUST3838,Female,26,5,1764,20,7056,4600.43,2455.57
ORD00055,2023-01-01,GRO_850,Fruits,Groceries,North,Delhi,CUST8805,Female,42,8,3443,20,22035.2,16636.77,5398.43
ORD00056,2023-07-11,FUR_546,Table,Furniture,East,Patna,CUST1580,Female,39,7,3247,10,20456.1,15747.33,4708.77
ORD00057,2023-03-27,ELE_796,Smartphone,Electronics,South,Chennai,CUST6188,Male,64,1,2241,20,1792.8,1535.78,257.02
ORD00058,2023-07-23,ELE_317,Laptop,Electronics,West,Pune,CUST7617,Female,38,7,1735,0,12145,7918.06,4226.94
ORD00059,2023-08-10,FUR_456,Bed,Furniture,North,Chandigarh,CUST6881,Male,27,6,2949,15,15039.9,10201.08,4838.82
ORD00060,2023-09-07,FUR_758,Chair,Furniture,West,Pune,CUST3489,Female,49,1,1115,0,1115,889.33,225.67
ORD00061,2023-01-04,FUR_115,Sofa,Furniture,East,Patna,CUST3839,Female,33,7,4692,20,26275.2,22600.87,3674.33
ORD00062,2023-06-09,ELE_574,Headphones,Electronics,East,Kolkata,CUST1851,Female,41,2,3846,0,7692,6099.65,1592.35
ORD00063,2023-06-28,FUR_526,Chair,Furniture,East,Kolkata,CUST6732,Male,29,3,4013,10,10835.1,7172.89,3662.21
ORD00064,2023-10-12,ELE_496,Laptop,Electronics,South,Chennai,CUST5107,Female,48,2,2646,20,4233.6,3325.39,908.21
ORD00065,2023-08-03,CLO_948,Jacket,Clothing,West,Pune,CUST9967,Female,46,2,214,15,363.8,249.04,114.76
ORD00066,2023-07-15,CLO_925,Jeans,Clothing,South,Chennai,CUST8668,Male,62,8,828,20,5299.2,4456.86,842.34
ORD00067,2023-09-06,CLO_775,Shirt,Clothing,North,Chandigarh,CUST6988,Female,26,8,2886,15,19624.8,17606.42,2018.38
ORD00068,2023-02-05,GRO_195,Fruits,Groceries,East,Bhubaneswar,CUST7806,Male,49,5,3951,10,17779.5,12955.89,4823.61
ORD00069,2023-01-13,CLO_378,Jacket,Clothing,South,Hyderabad,CUST3914,Male,58,1,4052,15,3444.2,2588.58,855.62
ORD00070,2023-08-05,GRO_441,Eggs,Groceries,East,Patna,CUST5492,Male,36,1,495,5,470.25,417.38,52.87
ORD00071,2023-03-17,GRO_364,Eggs,Groceries,West,Pune,CUST3502,Female,45,4,3677,5,13972.6,11032.08,2940.52
ORD00072,2023-03-10,FUR_198,Sofa,Furniture,North,Chandigarh,CUST5491,Female,42,4,3038,0,12152,8066.72,4085.28
ORD00073,2023-02-22,GRO_250,Eggs,Groceries,South,Chennai,CUST2167,Female,56,5,3082,0,15410,13850.19,1559.81
ORD00074,2023-05-02,ELE_232,Headphones,Electronics,South,Chennai,CUST8330,Male,40,2,4946,10,8902.8,5723.59,3179.21
ORD00075,2023-03-15,FUR_591,Bed,Furniture,East,Bhubaneswar,CUST8056,Female,55,7,1291,20,7229.6,4495.57,2734.03
ORD00076,2023-10-10,ELE_733,Headphones,Electronics,West,Ahmedabad,CUST2540,Female,46,5,2486,20,9944,7700.55,2243.45
ORD00077,2023-12-31,FUR_932,Sofa,Furniture,South,Hyderabad,CUST2365,Male,34,7,4412,0,30884,24014.37,6869.63
ORD00078,2023-10-19,ELE_169,Laptop,Electronics,North,Delhi,CUST8419,Female,48,3,3023,10,8162.1,6264.59,1897.51
ORD00079,2023-04-01,GRO_813,Rice,Groceries,North,Lucknow,CUST6977,Male,36,7,3622,0,25354,17141.96,8212.04
ORD00080,2023-08-30,GRO_319,Eggs,Groceries,South,Bangalore,CUST4709,Male,37,8,994,15,6759.2,5371.96,1387.24
ORD00081,2023-01-01,CLO_486,Jacket,Clothing,West,Mumbai,CUST1504,Male,42,8,1028,20,6579.2,4388.84,2190.36
